pair	relation	equivalences_used	matched_signature	distance_eligible_words	source_chapter	source_verse	source_position	source_hebrew	source_word	source_signature	target_chapter	target_verse	target_position	target_hebrew	target_word	target_signature	exact_word
P0014	EXACT		ˈayim	1	11	11	11	הַשָּׁמַ֖יִם	hashamáyim	ˈayim	11	11	13	מָּֽיִם	máyim	ˈayim	False
P0015	EXACT		ˈerets	6	11	11	7	אֶ֥רֶץ	érets	ˈerets	11	12	1	אֶ֕רֶץ	érets	ˈerets	True
P0016	EXACT		ˈah	11	11	11	6	לְרִשְׁתָּ֔הּ	lerishtáh	ˈah	11	12	6	אֹתָ֑הּ	otáh	ˈah	False
P0017	EXACT		aˈi	6	11	12	3	יְהוָ֥ה	adonaí	aˈi	11	12	9	יְהוָ֤ה	adonaí	aˈi	True
P0018	EXACT		ˈah	16	11	11	6	לְרִשְׁתָּ֔הּ	lerishtáh	ˈah	11	12	11	בָּ֔הּ	báh	ˈah	False
P0019	EXACT		ˈah	5	11	12	6	אֹתָ֑הּ	otáh	ˈah	11	12	11	בָּ֔הּ	báh	ˈah	False
P0020	EXACT		ˈit	3	11	12	12	מֵֽרֵשִׁית֙	méreshít	ˈit	11	12	15	אַחֲרִ֥ית	acharít	ˈit	False
P0021	EXACT		nˈa	3	11	12	13	הַשָּׁנָ֔ה	hashaná	nˈa	11	12	16	שָׁנָֽה	shaná	nˈa	False
P0022	EXACT		aˈi	18	11	12	9	יְהוָ֤ה	adonaí	aˈi	11	13	14	יְהוָ֤ה	adonaí	aˈi	True
P0023	EXACT		ˈem	4	11	13	10	אֶתְכֶ֖ם	etkhém	ˈem	11	13	15	אֱלֹֽהֵיכֶם֙	elóheykhém	ˈem	False
P0024	EXACT		ˈem	6	11	13	10	אֶתְכֶ֖ם	etkhém	ˈem	11	13	18	לְבַבְכֶ֖ם	levavkhém	ˈem	False
P0025	EXACT		ˈem	2	11	13	15	אֱלֹֽהֵיכֶם֙	elóheykhém	ˈem	11	13	18	לְבַבְכֶ֖ם	levavkhém	ˈem	False
P0026	EXACT		ˈem	7	11	13	10	אֶתְכֶ֖ם	etkhém	ˈem	11	13	20	נַפְשְׁכֶֽם	nafshekhém	ˈem	False
P0027	EXACT		ˈem	3	11	13	15	אֱלֹֽהֵיכֶם֙	elóheykhém	ˈem	11	13	20	נַפְשְׁכֶֽם	nafshekhém	ˈem	False
P0028	EXACT		ˈem	1	11	13	18	לְבַבְכֶ֖ם	levavkhém	ˈem	11	13	20	נַפְשְׁכֶֽם	nafshekhém	ˈem	False
P0029	EXACT		ˈem	10	11	13	10	אֶתְכֶ֖ם	etkhém	ˈem	11	14	3	אַרְצְכֶ֛ם	artsekhém	ˈem	False
P0030	EXACT		ˈem	6	11	13	15	אֱלֹֽהֵיכֶם֙	elóheykhém	ˈem	11	14	3	אַרְצְכֶ֛ם	artsekhém	ˈem	False
P0031	EXACT		ˈem	4	11	13	18	לְבַבְכֶ֖ם	levavkhém	ˈem	11	14	3	אַרְצְכֶ֛ם	artsekhém	ˈem	False
P0032	EXACT		ˈem	3	11	13	20	נַפְשְׁכֶֽם	nafshekhém	ˈem	11	14	3	אַרְצְכֶ֛ם	artsekhém	ˈem	False
P0033	EXACT		ˈekha	2	11	14	8	דְגָנֶ֔ךָ	deganékha	ˈekha	11	14	10	וְיִצְהָרֶֽךָ	veyitsharékha	ˈekha	False
P0034	EXACT		tˈi	10	11	14	1	וְנָתַתִּ֧י	venatatí	tˈi	11	15	1	וְנָתַתִּ֛י	venatatí	tˈi	True
P0035	EXACT		khˈa	4	11	14	9	וְתִֽירֹשְׁךָ֖	vetíroshkhá	khˈa	11	15	3	בְּשָׂדְךָ֖	besadkhá	khˈa	False
P0036	EXACT		ˈekha	6	11	14	8	דְגָנֶ֔ךָ	deganékha	ˈekha	11	15	4	לִבְהֶמְתֶּ֑ךָ	livhemtékha	ˈekha	False
P0037	EXACT		ˈekha	4	11	14	10	וְיִצְהָרֶֽךָ	veyitsharékha	ˈekha	11	15	4	לִבְהֶמְתֶּ֑ךָ	livhemtékha	ˈekha	False
P0038	EXACT		tˈa	8	11	14	7	וְאָסַפְתָּ֣	veasaftá	tˈa	11	15	5	וְאָכַלְתָּ֖	veakhaltá	tˈa	False
